"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "Year"
"1" 95400 131000 147000 118000 321000 41100 45000 24200 46700 32700 138000 96500 39500 46600 71500 204000 25800 45200 58000 68000 73400 16900 32000 61100 49400 99000 182000 285000 1937
"2" 65800 71800 81800 71100 134000 20000 19100 20200 30300 17600 56500 46600 55300 28100 43800 44200 24500 43400 59800 71900 76400 30600 25100 46000 31500 33600 71000 162000 1938
"3" 76000 82100 85000 109000 207000 20400 21600 18200 18400 34200 95700 32500 60200 23400 40800 72200 27500 52600 73600 97500 106000 19000 21700 49300 33700 55900 102000 197000 1939
"4" 96000 109000 116000 87400 249000 28300 22000 95000 126000 21800 163000 66000 109000 24700 48400 48800 16400 25000 33300 25900 26000 8200 10400 31800 37500 51200 77400 1e+05 1940
"5" 47700 55500 63100 117000 210000 11600 12200 12200 21900 12900 47600 16000 17900 4360 13900 23600 7160 13600 13500 15100 16500 5700 2970 11200 4930 11500 20800 38300 1941
"6" 102000 146000 162000 105000 365000 35000 14400 21800 33200 27700 107000 34200 52300 18400 21500 46100 12800 29300 43600 53000 50100 9700 12200 31500 16400 28300 59000 106000 1942
"7" 78900 97200 116000 69200 238000 23400 13800 18700 20100 32200 96600 66000 94400 31300 51000 67500 47800 84700 129000 182000 186000 29400 35800 76000 42000 62600 97400 302000 1943
"8" 61400 70800 78000 90400 153000 16400 13200 21800 36200 17200 66900 29100 33400 27100 30300 39800 24900 45500 71500 80800 81700 12900 24100 52600 36000 46200 91200 167000 1944
"9" 79900 113000 137000 95400 309000 20200 16600 46100 53300 17800 88500 77300 104000 26600 43700 70200 13900 29800 46000 53200 52300 20500 13800 49800 40300 72600 105000 162000 1945
"10" 96400 122000 131000 54200 178000 42800 13000 34100 56900 41600 146000 36600 41000 13200 21900 51400 10200 23000 35200 35800 38900 10400 9020 23300 12800 23300 45000 92100 1946
"11" 111000 116000 121000 35200 152000 16400 11200 22500 38400 21800 70600 47600 43500 34600 42600 41000 20900 30600 40000 52200 54700 7000 10800 28600 33000 40600 60200 110000 1947
"12" 112000 125000 136000 106000 261000 14800 15600 25700 40700 36100 124000 59800 73600 27600 38600 56600 18000 29000 39700 57800 71500 24500 17400 41800 23700 36500 75200 162000 1948
"13" 36200 46700 55500 70200 158000 14800 13000 30800 31600 26000 61500 36600 44500 28800 37400 71100 21900 38000 59600 63700 66000 18000 16400 48900 63500 62400 110000 235000 1949
"14" 82800 98200 102000 89100 237000 23400 14200 36200 59600 33700 113000 46100 45000 32600 42900 86100 33500 67700 88000 108000 120000 36600 26400 70400 50000 68500 138000 286000 1950
"15" 69500 86800 95600 94400 176000 19000 13500 14800 20700 26600 54600 41500 45200 29300 43700 63300 16500 33000 50000 88000 91900 18100 16800 29400 28600 42200 69300 164000 1951
"16" 74000 109000 124000 72700 261000 31400 17400 17100 27600 25200 68700 67400 87600 36600 55300 71500 20000 34000 41500 42600 43700 7950 17500 28500 42000 40600 76500 126000 1952
"17" 58300 84500 92700 44100 122000 11500 7760 24400 35000 39200 75000 10600 17600 17300 14500 47700 15000 27600 34600 37000 38200 4970 11200 26000 12500 19500 40000 73900 1953
"18" 69700 93700 109000 115000 250000 35800 8530 21900 27600 29200 79500 11000 12100 8660 8300 36600 8010 13200 17900 18400 18700 450 5540 9100 5880 5580 12300 27500 1954
"19" 63400 77000 81200 68300 195000 18000 9800 21600 33200 43800 106000 27200 34200 20600 26700 66600 19700 25800 35000 30200 31100 5940 9750 24200 34600 30200 45600 73900 1955
"20" 124000 142000 160000 120000 226000 22000 11600 20700 36200 17300 70500 21200 31000 19800 26700 66900 15500 24100 29400 37200 39100 9300 23700 35200 30600 33200 60000 91300 1956
"21" 73700 87100 95600 78400 158000 23500 11600 36500 56000 29500 92000 49200 59100 31000 45100 59500 28000 37700 51900 73100 79900 35200 26300 51000 33400 45500 90200 181000 1957
"22" 42000 55600 62700 63900 150000 20300 10600 30200 32800 23600 75900 31800 39200 37200 45100 38900 31200 51500 97000 129000 125000 10300 29400 43500 28100 34400 62700 185000 1958
"23" 117000 160000 184000 59100 254000 47500 12400 36200 55000 19200 53800 127000 127000 57100 73900 41900 38600 66300 87600 103000 107000 17600 17400 35800 55900 66500 97500 172000 1959
"24" 96200 118000 132000 71100 233000 23300 11000 35500 59000 35600 112000 20700 32300 12300 16500 41000 14400 27300 38100 45200 46700 11600 9450 32200 25600 40300 57900 106000 1960
"25" 87200 92900 93600 50400 164000 11800 10800 32800 35400 27900 88500 28000 48000 23400 34000 52500 19900 34400 54700 84500 74200 33000 18500 67100 52000 76200 132000 248000 1961
"26" 31000 43900 55500 54000 130000 14200 11200 18300 22600 32700 84900 34500 51600 21800 31800 105000 14800 38100 45000 57400 53300 18600 22000 27800 19700 35600 55000 122000 1962
"27" 78000 92600 94800 119000 211000 13000 12000 39000 52000 39100 113000 70700 101000 45200 57200 42200 17000 35000 60000 68000 64800 11600 27200 55600 47600 45200 82500 152000 1963
"28" 105000 148000 174000 60100 276000 27700 14700 25000 25000 36800 92600 73800 122000 34200 52600 80000 20200 39200 57600 76700 81300 7500 35000 56600 44800 61400 108000 149000 1964
"29" 52200 58800 64000 42700 109000 17400 10200 27600 39300 25600 76400 26100 30900 20100 25400 47600 12400 26400 36000 44400 43100 4540 11400 22400 25000 25500 47500 80800 1965
"30" 55800 92500 109000 84000 236000 18200 11800 35200 60000 26000 70500 26400 38500 20500 30700 39300 14300 40700 64100 59600 68000 18800 18200 43800 32900 29000 61400 133000 1966
"31" 37800 50700 57200 149000 203000 12600 10600 16100 25300 45000 77900 27700 35600 20100 26400 44600 15400 34300 65300 62600 64200 33500 11100 19100 15400 19900 39800 101000 1967
"32" 56900 81500 87500 97400 161000 19300 10400 17300 26600 22600 59800 35800 83700 21700 56100 49900 13400 32900 67100 91700 85400 14600 17000 64700 55200 58200 96000 154000 1968
"33" 53600 72400 78300 46500 120000 13100 11900 23100 25500 39100 94900 26600 32600 22900 40300 46800 11800 32600 64900 99800 91000 22700 20200 65600 35000 46800 94600 195000 1969
"34" 43700 75900 91700 67800 198000 12300 9110 26000 26300 32300 65500 30700 44400 25000 39000 42200 7830 16800 41700 61600 70500 16400 10200 26800 22600 22200 51200 129000 1970
"35" 44400 61200 71000 60400 131000 16000 10600 26100 32000 25600 65000 25600 39300 20100 29800 40700 8080 17700 30000 40200 47400 7780 12900 34100 24900 34700 63500 121000 1971
"36" 76000 118000 144000 92100 344000 18400 9470 42800 72400 41200 102000 24800 30300 22100 27000 45600 8940 17700 38500 60000 58500 7380 16700 27600 23700 35700 66900 134000 1972
"37" 38800 56200 69000 57700 118000 16300 8940 47300 66000 51000 82100 26300 31600 18800 26500 43600 7760 17800 39500 55400 56700 17200 15000 28000 21700 30900 57800 115000 1973
"38" 49600 70500 80000 97000 157000 21600 11200 33600 40000 31000 77100 25700 28600 22700 33400 54200 10200 23500 52500 81100 82800 19600 14400 26200 16300 23500 57400 149000 1974
