"Year" "Month" "NAO"
"3" 1822 "Mar" 2.988
"4" 1822 "April" -3.187
"5" 1822 "May" 0.588
"6" 1822 "June" -0.862
"7" 1822 "Jul" -4.047
"8" 1822 "Aug" -0.19
"9" 1822 "Sept" -1.092
"10" 1822 "Oct" -2.003
"11" 1822 "Nov" -0.05
"12" 1822 "Dec" -0.734
"13" 1823 "Jan" -3.387
"17" 1823 "May" 4.651
"18" 1823 "June" -0.835
"19" 1823 "Jul" 0.58
"20" 1823 "Aug" 2.903
"21" 1823 "Sept" 0.669
"22" 1823 "Oct" -1.391
"23" 1823 "Nov" -0.757
"24" 1823 "Dec" -0.202
"25" 1824 "Jan" -0.162
"26" 1824 "Feb" 0.25
"27" 1824 "Mar" -1.438
"28" 1824 "April" 1.462
"29" 1824 "May" 1.342
"30" 1824 "June" -3.945
"31" 1824 "Jul" -2.747
"32" 1824 "Aug" -0.075
"33" 1824 "Sept" 0.193
"35" 1824 "Nov" -0.699
"36" 1824 "Dec" -0.006
"37" 1825 "Jan" -0.226
"38" 1825 "Feb" 0.211
"39" 1825 "Mar" 0.327
"40" 1825 "April" -0.276
"41" 1825 "May" 0.131
"42" 1825 "June" 0.41
"43" 1825 "Jul" -0.919
"44" 1825 "Aug" 1.43
"45" 1825 "Sept" -0.947
"46" 1825 "Oct" 1.981
"47" 1825 "Nov" 1.059
"48" 1825 "Dec" -1.305
"49" 1826 "Jan" -3.049
"50" 1826 "Feb" 4.875
"51" 1826 "Mar" -0.975
"52" 1826 "April" 1.782
"53" 1826 "May" -1.204
"54" 1826 "June" 0.835
"55" 1826 "Jul" 1.887
"56" 1826 "Aug" 2.717
"57" 1826 "Sept" -0.755
"58" 1826 "Oct" 0.183
"59" 1826 "Nov" -2.411
"60" 1826 "Dec" -0.591
"61" 1827 "Jan" -0.447
"62" 1827 "Feb" -3.717
"63" 1827 "Mar" 1.834
"64" 1827 "April" -0.827
"65" 1827 "May" 1.196
"66" 1827 "June" -0.075
"67" 1827 "Jul" 2.022
