"ENSO" "Month" "Year"
"1" -0.960793 "Jan" "1870"
"2" -1.18087 "Feb" "1870"
"3" -0.770542 "Mar" "1870"
"4" -0.734838 "April" "1870"
"5" -1.18979 "May" "1870"
"6" -0.987427 "June" "1870"
"7" -0.919344 "Jul" "1870"
"8" -0.797134 "Aug" "1870"
"9" -0.475044 "Sept" "1870"
"10" -0.874384 "Oct" "1870"
"11" -0.7348 "Nov" "1870"
"12" -0.780359 "Dec" "1870"
"13" -0.196672 "Jan" "1871"
"14" -0.56488 "Feb" "1871"
"15" -0.376093 "Mar" "1871"
"16" -0.429968 "April" "1871"
"17" -0.624331 "May" "1871"
"18" -0.435987 "June" "1871"
"19" -0.481684 "Jul" "1871"
"20" -0.242195 "Aug" "1871"
"21" -0.181074 "Sept" "1871"
"22" -0.280624 "Oct" "1871"
"23" -0.238001 "Nov" "1871"
"24" -0.556179 "Dec" "1871"
"25" -0.665401 "Jan" "1872"
"26" -0.60618 "Feb" "1872"
"27" -0.449432 "Mar" "1872"
"28" -0.700039 "April" "1872"
"29" -0.537621 "May" "1872"
"30" -0.432627 "June" "1872"
"31" -0.200024 "Jul" "1872"
"32" -0.765755 "Aug" "1872"
"33" -0.961555 "Sept" "1872"
"34" -0.897083 "Oct" "1872"
"35" -0.735672 "Nov" "1872"
"36" -0.859659 "Dec" "1872"
"37" -0.734453 "Jan" "1873"
"38" -0.997499 "Feb" "1873"
"39" -1.25541 "Mar" "1873"
"40" -0.594429 "April" "1873"
"41" -0.44858 "May" "1873"
"42" -0.380808 "June" "1873"
"43" -0.455124 "Jul" "1873"
"44" -0.303225 "Aug" "1873"
"45" -0.280266 "Sept" "1873"
"46" -0.725414 "Oct" "1873"
"47" -0.714521 "Nov" "1873"
"48" -0.68775 "Dec" "1873"
"49" -0.891052 "Jan" "1874"
"50" -1.05518 "Feb" "1874"
"51" -1.35529 "Mar" "1874"
"52" -0.874578 "April" "1874"
"53" -0.78299 "May" "1874"
"54" -0.633627 "June" "1874"
"55" -0.893044 "Jul" "1874"
"56" -0.978405 "Aug" "1874"
"57" -1.07768 "Sept" "1874"
"58" -1.19778 "Oct" "1874"
"59" -1.26557 "Nov" "1874"
"60" -1.12263 "Dec" "1874"
"61" -0.667131 "Jan" "1875"
"62" -0.36146 "Feb" "1875"
"63" -0.541203 "Mar" "1875"
"64" -0.794559 "April" "1875"
"65" -1.00499 "May" "1875"
"66" -0.665667 "June" "1875"
"67" -0.725393 "Jul" "1875"
"68" -0.719074 "Aug" "1875"
"69" -0.848915 "Sept" "1875"
"70" -0.778904 "Oct" "1875"
"71" -0.575592 "Nov" "1875"
"72" -0.73378 "Dec" "1875"
"73" -0.900093 "Jan" "1876"
"74" -1.18645 "Feb" "1876"
"75" -1.08263 "Mar" "1876"
"76" -1.11302 "April" "1876"
"77" -1.00941 "May" "1876"
"78" -0.342997 "June" "1876"
"79" -0.225483 "Jul" "1876"
"80" -0.0762157 "Aug" "1876"
"81" 0.0363445 "Sept" "1876"
"82" 0.168026 "Oct" "1876"
"83" 0.215569 "Nov" "1876"
"84" 0.24605 "Dec" "1876"
"85" 0.402208 "Jan" "1877"
"86" 0.467291 "Feb" "1877"
"87" 0.572418 "Mar" "1877"
"88" 0.573391 "April" "1877"
"89" 0.84251 "May" "1877"
"90" 1.07464 "June" "1877"
"91" 1.54055 "Jul" "1877"
"92" 1.63641 "Aug" "1877"
"93" 1.81495 "Sept" "1877"
"94" 2.00849 "Oct" "1877"
"95" 2.15949 "Nov" "1877"
"96" 2.51786 "Dec" "1877"
"97" 2.47754 "Jan" "1878"
"98" 2.45279 "Feb" "1878"
"99" 1.36597 "Mar" "1878"
"100" 0.993681 "April" "1878"
"101" 0.907179 "May" "1878"
"102" 1.01351 "June" "1878"
"103" 0.368896 "Jul" "1878"
"104" -0.031765 "Aug" "1878"
"105" -0.263395 "Sept" "1878"
"106" -0.486313 "Oct" "1878"
"107" -0.646111 "Nov" "1878"
"108" -0.7428 "Dec" "1878"
"109" -0.499971 "Jan" "1879"
"110" -0.17087 "Feb" "1879"
"111" -0.187632 "Mar" "1879"
"112" -0.302198 "April" "1879"
"113" -0.75127 "May" "1879"
"114" -0.571678 "June" "1879"
"115" -0.643034 "Jul" "1879"
"116" -0.608595 "Aug" "1879"
"117" -0.770655 "Sept" "1879"
"118" -0.881924 "Oct" "1879"
"119" -1.07259 "Nov" "1879"
"120" -1.01046 "Dec" "1879"
"121" -0.956593 "Jan" "1880"
"122" -0.71767 "Feb" "1880"
"123" -0.572372 "Mar" "1880"
"124" -0.496309 "April" "1880"
"125" -0.629431 "May" "1880"
"126" -0.517487 "June" "1880"
"127" -0.413584 "Jul" "1880"
"128" -0.155476 "Aug" "1880"
"129" 0.0359554 "Sept" "1880"
"130" 0.223036 "Oct" "1880"
"131" 0.306898 "Nov" "1880"
"132" 0.19981 "Dec" "1880"
"133" 0.339947 "Jan" "1881"
"134" 0.242439 "Feb" "1881"
"135" 0.369337 "Mar" "1881"
"136" 0.47562 "April" "1881"
"137" 0.242359 "May" "1881"
"138" 0.321253 "June" "1881"
"139" -0.145023 "Jul" "1881"
"140" -0.0853958 "Aug" "1881"
"141" -0.277405 "Sept" "1881"
"142" -0.374643 "Oct" "1881"
"143" -0.531092 "Nov" "1881"
"144" -0.354059 "Dec" "1881"
"145" -0.404043 "Jan" "1882"
"146" -0.541161 "Feb" "1882"
"147" -0.482903 "Mar" "1882"
"148" 0.165312 "April" "1882"
"149" 0.0913696 "May" "1882"
"150" -0.317587 "June" "1882"
"151" -0.463013 "Jul" "1882"
"152" -0.253904 "Aug" "1882"
"153" -0.456955 "Sept" "1882"
"154" -0.604563 "Oct" "1882"
"155" -0.857471 "Nov" "1882"
"156" -0.7402 "Dec" "1882"
"157" -0.416512 "Jan" "1883"
"158" -0.483459 "Feb" "1883"
"159" -0.352032 "Mar" "1883"
"160" -0.154959 "April" "1883"
"161" -0.295361 "May" "1883"
"162" -0.112556 "June" "1883"
"163" 0.110767 "Jul" "1883"
"164" 0.0638657 "Aug" "1883"
"165" -0.109585 "Sept" "1883"
"166" -0.372623 "Oct" "1883"
"167" -0.158882 "Nov" "1883"
"168" -0.12731 "Dec" "1883"
"169" -0.0665321 "Jan" "1884"
"170" 8.01086e-05 "Feb" "1884"
"171" 0.0486279 "Mar" "1884"
"172" 0.33423 "April" "1884"
"173" 0.480499 "May" "1884"
"174" -0.043848 "June" "1884"
"175" 0.400156 "Jul" "1884"
"176" 0.288746 "Aug" "1884"
"177" 0.242115 "Sept" "1884"
"178" 0.345716 "Oct" "1884"
"179" 0.370579 "Nov" "1884"
"180" 0.37059 "Dec" "1884"
"181" 0.179447 "Jan" "1885"
"182" 0.28775 "Feb" "1885"
"183" 0.170208 "Mar" "1885"
"184" 0.0498505 "April" "1885"
"185" 0.514669 "May" "1885"
"186" 0.253712 "June" "1885"
"187" 0.191996 "Jul" "1885"
"188" 0.419155 "Aug" "1885"
"189" 0.574505 "Sept" "1885"
"190" 0.770006 "Oct" "1885"
"191" 0.86904 "Nov" "1885"
"192" 1.04295 "Dec" "1885"
"193" 0.214977 "Jan" "1886"
"194" -0.0901909 "Feb" "1886"
"195" -0.0708828 "Mar" "1886"
"196" -0.302898 "April" "1886"
"197" -0.77319 "May" "1886"
"198" -0.811407 "June" "1886"
"199" -0.853964 "Jul" "1886"
"200" -0.942434 "Aug" "1886"
"201" -1.14955 "Sept" "1886"
"202" -1.08793 "Oct" "1886"
"203" -1.28581 "Nov" "1886"
"204" -1.42204 "Dec" "1886"
"205" -0.631203 "Jan" "1887"
"206" -1.01989 "Feb" "1887"
"207" -1.128 "Mar" "1887"
"208" -1.10752 "April" "1887"
"209" -1.06193 "May" "1887"
"210" -0.469608 "June" "1887"
"211" -0.427683 "Jul" "1887"
"212" -0.541124 "Aug" "1887"
"213" -0.286276 "Sept" "1887"
"214" -0.0750237 "Oct" "1887"
"215" 0.0950279 "Nov" "1887"
"216" 0.168581 "Dec" "1887"
"217" 0.198938 "Jan" "1888"
"218" 0.672581 "Feb" "1888"
"219" 0.447529 "Mar" "1888"
"220" 0.37215 "April" "1888"
"221" 0.559031 "May" "1888"
"222" 0.490843 "June" "1888"
"223" 0.679066 "Jul" "1888"
"224" 1.0144 "Aug" "1888"
"225" 0.649324 "Sept" "1888"
"226" 1.47641 "Oct" "1888"
"227" 2.28341 "Nov" "1888"
"228" 1.69864 "Dec" "1888"
"229" 2.0469 "Jan" "1889"
"230" 1.49084 "Feb" "1889"
"231" 0.885729 "Mar" "1889"
"232" 0.540401 "April" "1889"
"233" 0.407709 "May" "1889"
"234" 0.188633 "June" "1889"
"235" -0.642683 "Jul" "1889"
"236" -0.914154 "Aug" "1889"
"237" -0.863686 "Sept" "1889"
"238" -1.2608 "Oct" "1889"
"239" -1.01866 "Nov" "1889"
"240" -1.22787 "Dec" "1889"
"241" -2.44056 "Jan" "1890"
"242" -2.09787 "Feb" "1890"
"243" -1.09613 "Mar" "1890"
"244" -1.07567 "April" "1890"
"245" -0.917101 "May" "1890"
"246" -0.768797 "June" "1890"
"247" -0.799793 "Jul" "1890"
"248" -1.28831 "Aug" "1890"
"249" -1.22982 "Sept" "1890"
"250" -1.20902 "Oct" "1890"
"251" -1.00718 "Nov" "1890"
"252" -0.665958 "Dec" "1890"
"253" -0.401272 "Jan" "1891"
"254" -0.2423 "Feb" "1891"
"255" -0.018652 "Mar" "1891"
"256" 0.216341 "April" "1891"
"257" 0.212099 "May" "1891"
"258" 0.381302 "June" "1891"
"259" 0.235487 "Jul" "1891"
"260" 0.137835 "Aug" "1891"
