"Year" "Month" "PDO"
"1" 1881 "Jan" -0.2476481
"2" 1881 "Feb" 0.07226241
"3" 1881 "Mar" 0.2226011
"4" 1881 "April" 0.3016303
"5" 1881 "May" 0.7251825
"6" 1881 "June" 0.3591
"7" 1881 "Jul" -1.617581
"8" 1881 "Aug" -2.203218
"9" 1881 "Sept" 0.2856073
"10" 1881 "Oct" 0.3743635
"11" 1881 "Nov" 0.1499795
"12" 1881 "Dec" -0.6916665
"13" 1882 "Jan" -1.935507
"14" 1882 "Feb" -1.732692
"15" 1882 "Mar" -1.478169
"16" 1882 "April" -1.41996
"17" 1882 "May" -1.242405
"18" 1882 "June" -1.603991
"19" 1882 "Jul" -3.028176
"20" 1882 "Aug" -1.051229
"21" 1882 "Sept" -0.640045
"22" 1882 "Oct" -1.211675
"23" 1882 "Nov" -0.925589
"24" 1882 "Dec" -0.0777721
"25" 1883 "Jan" -1.479828
"26" 1883 "Feb" -1.38265
"27" 1883 "Mar" -1.205222
"28" 1883 "April" -0.393974
"29" 1883 "May" -0.518917
"30" 1883 "June" -0.581168
"31" 1883 "Jul" -2.102643
"32" 1883 "Aug" -1.685765
"33" 1883 "Sept" -0.889798
"34" 1883 "Oct" -0.994483
"35" 1883 "Nov" -0.9539285
"36" 1883 "Dec" -1.736007
"37" 1884 "Jan" -2.009711
"38" 1884 "Feb" -2.192711
"39" 1884 "Mar" -1.195446
"40" 1884 "April" -0.642383
"41" 1884 "May" 0.5346705
"42" 1884 "June" 0.858991
"43" 1884 "Jul" 1.084458
"44" 1884 "Aug" 0.9393405
"45" 1884 "Sept" 0.6113065
"46" 1884 "Oct" 1.424045
"47" 1884 "Nov" 2.112065
"48" 1884 "Dec" 2.575587
"49" 1885 "Jan" 2.379076
"50" 1885 "Feb" 1.465989
"51" 1885 "Mar" 2.100833
"52" 1885 "April" 1.846131
"53" 1885 "May" 1.317596
"54" 1885 "June" 0.1123322
"55" 1885 "Jul" -0.09438205
"56" 1885 "Aug" 0.41699
"57" 1885 "Sept" 0.1858189
"58" 1885 "Oct" 0.1756437
"59" 1885 "Nov" -0.02582989
"60" 1885 "Dec" 0.0886445
"61" 1886 "Jan" -0.3593695
"62" 1886 "Feb" 0.5546275
"63" 1886 "Mar" -0.4014605
"64" 1886 "April" 0.6917015
"65" 1886 "May" 0.2234334
"66" 1886 "June" -0.7491155
"67" 1886 "Jul" 0.0775138
"68" 1886 "Aug" 0.1863936
"69" 1886 "Sept" 0.007496825
"70" 1886 "Oct" -1.161276
"71" 1886 "Nov" -2.535089
"72" 1886 "Dec" -1.702904
"73" 1887 "Jan" -1.204518
"74" 1887 "Feb" -1.542432
"75" 1887 "Mar" -1.790579
"76" 1887 "April" -1.493709
"77" 1887 "May" -0.465612
"78" 1887 "June" 0.3418632
"79" 1887 "Jul" 1.578892
"80" 1887 "Aug" -0.7865445
"81" 1887 "Sept" -2.049663
"82" 1887 "Oct" -1.485365
"83" 1887 "Nov" -1.096536
"84" 1887 "Dec" -1.165202
"85" 1888 "Jan" -1.224331
"86" 1888 "Feb" -0.2015349
"87" 1888 "Mar" 0.05007485
"88" 1888 "April" 0.1192128
"89" 1888 "May" 1.250126
"90" 1888 "June" 1.435182
"91" 1888 "Jul" 1.488658
"92" 1888 "Aug" 1.349271
"93" 1888 "Sept" 1.294027
